codmicro,nomemicro,longitude,latitude
24008,Macau,-36.30557463184304,-5.180154091967687
24009,Angicos,-36.33258087904199,-5.596318267804082
24010,Serra de Santana,-36.60907247345234,-5.998367734313839
24011,Seridó Ocidental,-37.166997164783,-6.489336614973278
24012,Seridó Oriental,-36.654532533422575,-6.501569839939385
24013,Baixa Verde,-35.914242072609575,-5.465084177116587
24014,Borborema Potiguar,-35.99565171719563,-6.179172201066209
24015,Agreste Potiguar,-35.58583484611675,-6.087344844383873
24016,Litoral Nordeste,-35.616429768753925,-5.336643814486942
24017,Macaíba,-35.352904025892336,-5.83200137404691
24018,Natal,-35.242882200997975,-5.797483307341009
24019,Litoral Sul,-35.17495240427782,-6.357532647732513
25001,Catolé do Rocha,-37.59856174594868,-6.355181294045016
25002,Cajazeiras,-38.50644414716026,-6.864571703401851
25003,Sousa,-37.93855745618041,-6.770263270153406
25004,Patos,-37.31970958644558,-7.016489449810842
25005,Piancó,-37.894985034411555,-7.183527019006076
25006,Itaporanga,-38.35056572951939,-7.471453423072557
25007,Serra do Teixeira,-37.75670319737894,-7.506118348866597
25008,Seridó Ocidental Paraibano,-36.94918839889026,-6.921396792237248
25009,Seridó Oriental Paraibano,-36.429932921591,-6.7371958865502055
25010,Cariri Ocidental,-36.87821183727641,-7.71826006989834
25011,Cariri Oriental,-36.31804291024309,-7.540528630272948
25012,Curimataú Ocidental,-36.108093361269326,-6.85472343738114
25013,Curimataú Oriental,-35.693556509243365,-6.613497164929619
25014,Esperança,-35.89061944118022,-6.999362163389129
25015,Brejo Paraibano,-35.63689446962321,-6.927897163658199
25016,Guarabira,-35.43166668075875,-6.8291146962945986
25017,Campina Grande,-35.965979036306436,-7.2887933160099525
25018,Itabaiana,-35.49586278309714,-7.279869995401856
25019,Umbuzeiro,-35.73815700713567,-7.592545082358708
25020,Litoral Norte,-35.13796480026275,-6.72828646318386
25021,Sapé,-35.223628670666045,-7.147054878658237
25022,João Pessoa,-34.95018810766038,-7.109289297758956
25023,Litoral Sul,-34.98068524225544,-7.381823529910464
26001,Araripina,-40.138175130272025,-7.796897223746156
26002,Salgueiro,-39.24914946107596,-8.029358299794586
26003,Pajeú,-37.84170505072698,-7.825806056750378
26004,Sertão do Moxotó,-37.60026454118119,-8.412407767764279
26005,Petrolina,-40.2456131788054,-8.707960365138115
26006,Itaparica,-38.46493325541362,-8.667734224438213
26007,Vale do Ipanema,-37.1159996897431,-8.800917335400769
26008,Vale do Ipojuca,-36.2990736052908,-8.279087256600347
26009,Alto Capibaribe,-36.01308331603397,-7.87359367304286
26010,Médio Capibaribe,-35.557262943129935,-7.886083176524931
26011,Garanhuns,-36.53422597640286,-8.985538347624798
26012,Brejo Pernambucano,-35.9195554096544,-8.51742068297595
26013,Mata Setentrional Pernambucana,-35.192894559604255,-7.646876292068142
26014,Vitória de Santo Antão,-35.33540767120264,-8.12628740161809
26015,Mata Meridional Pernambucana,-35.482561776286786,-8.639937957471304
26016,Itamaracá,-34.96027091500475,-7.796301025136684
26017,Recife,-35.020443998449466,-8.046796251775094
26018,Suape,-35.086284540266824,-8.359926183750309
26019,Fernando de Noronha,-32.42729019952227,-3.857234994483278
27001,Serrana do Sertão Alagoano,-37.75440641985697,-9.160915020270968
27002,Alagoana do Sertão do São Francisco,-37.89460704100973,-9.445955465350357
27003,Santana do Ipanema,-37.39205623976886,-9.438631448286245
27004,Batalha,-37.130112438231755,-9.634643538879146
27005,Palmeira dos Índios,-36.617017665970145,-9.436816862547252
27006,Arapiraca,-36.66467956875161,-9.783182412768811
27007,Traipu,-36.9308161284435,-9.94783805275126
27008,Serrana dos Quilombos,-36.11101278669358,-9.153261206574166
27009,Mata Alagoana,-35.784713946437556,-9.196627211542625
27010,Litoral Norte Alagoano,-35.360303326781306,-9.09987263121825
27011,Maceió,-35.81169974803152,-9.563943829837726
27012,São Miguel dos Campos,-36.225853239780584,-9.906658355783982
27013,Penedo,-36.53320702281788,-10.218400146497759
28001,Sergipana do Sertão do São Francisco,-37.55118763078725,-9.960152138633225
28002,Carira,-37.609811990841344,-10.444670115219626
28003,Nossa Senhora das Dores,-37.164682612048345,-10.375315073321604
28004,Agreste de Itabaiana,-37.44120446644787,-10.707835552343784
28005,Tobias Barreto,-37.98478764199553,-10.91421285513749
28006,Agreste de Lagarto,-37.71353393369576,-10.947697186656104
28007,Propriá,-36.76429425707931,-10.283639472347826
28008,Cotinguiba,-37.08859529741763,-10.532526207443874
28009,Japaratuba,-36.78711840301926,-10.511474333344355
28010,Baixo Cotinguiba,-37.075223386934596,-10.749224638021715
28011,Aracaju,-37.15496948256027,-10.937742423813331
28012,Boquim,-37.70566160524593,-11.271727825174041
28013,Estância,-37.40701836686507,-11.228411833857443
29001,Barreiras,-45.509375262474435,-11.943655639792121
29002,Cotegipe,-44.24890722729803,-11.639365521480302
29003,Santa Maria da Vitória,-45.08758583371694,-13.821474091050154
29004,Juazeiro,-41.615201955087656,-9.694113731875628
29005,Paulo Afonso,-38.84300043640117,-9.219756869864872
29006,Barra,-43.12532939206236,-11.14695424676489
29007,Bom Jesus da Lapa,-43.53648784183011,-13.366377367736774
29008,Senhor do Bonfim,-40.453223516473436,-10.356892707826686
29009,Irecê,-41.966862767055105,-11.556266202906182
29010,Jacobina,-40.76158281776099,-11.245241423391782
29011,Itaberaba,-40.449182441234605,-12.366163885666793
29012,Feira de Santana,-39.35252085291617,-12.257255166261286
29013,Jeremoabo,-38.34433615113749,-10.008250680619597
29014,Euclides da Cunha,-39.218882783150896,-10.50604091877037
29015,Ribeira do Pombal,-38.31497236928028,-10.896165755568262
29016,Serrinha,-39.31663293373514,-11.523151186108999
29017,Alagoinhas,-38.29309025906939,-11.775919668307969
29018,Entre Rios,-37.84509839671801,-11.903511079651881
29019,Catu,-38.319285246349125,-12.402700045169317
29020,Santo Antônio de Jesus,-39.0609957682872,-12.829276571446242
29021,Salvador,-38.453609973498864,-12.783284624248175
29022,Boquira,-42.55231661405193,-12.632830385190934
29023,Seabra,-41.45753943089903,-12.927292986327512
29024,Jequié,-40.199668187299714,-13.469821853098418
29025,Livramento do Brumado,-42.04648684202325,-13.603164828442928
29026,Guanambi,-42.893239542278,-14.249700108862815
29027,Brumado,-41.61707842186086,-14.513266142188384
29028,Vitória da Conquista,-40.62922270296153,-14.653219365657739
29029,Itapetinga,-40.36403679364491,-15.478348454505893
29030,Valença,-39.18678837339643,-13.716880811688185
29031,Ilhéus-Itabuna,-39.4297205459228,-14.963517390131424
29032,Porto Seguro,-39.744481174395695,-17.09162840761301
31001,Unaí,-46.46188657762014,-15.912839414552382
31002,Paracatu,-46.3404678396172,-17.63029495118576
31003,Januária,-44.70594646383536,-15.282125929793454
31004,Janaúba,-43.16692839583267,-15.425722500451343
31005,Salinas,-42.152151954930986,-15.704928228778858
31006,Pirapora,-45.12509936364664,-17.11976808493561
31007,Montes Claros,-44.08288641938674,-16.35881937830166
31008,Grão Mogol,-42.99962072292917,-16.65926127710829
31009,Bocaiúva,-43.80250487878609,-17.35823155054496
31010,Diamantina,-43.55204184425436,-18.086256143516948
31011,Capelinha,-42.67665520562851,-17.44868371634032
31012,Araçuaí,-41.87107918478217,-16.926977541914642
31013,Pedra Azul,-41.44356133443629,-16.173819519330465
31014,Almenara,-40.69774345916536,-16.332512787709017
31015,Teófilo Otoni,-41.51143065697083,-17.764798092645037
31016,Nanuque,-40.75858598090357,-17.453631543379725
31017,Ituiutaba,-49.88588304139948,-18.967245845869808
31018,Uberlândia,-48.63308039361856,-18.92686355760589
31019,Patrocínio,-47.20353003783255,-18.723407393868257
31020,Patos de Minas,-46.230700233962686,-18.897505677390086
31021,Frutal,-49.82716460873881,-19.698279604913
31022,Uberaba,-48.1428986765061,-19.701316643480133
31023,Araxá,-47.02799907670586,-19.612607415303934
31024,Três Marias,-45.21308785174675,-18.776231813836624
31025,Curvelo,-44.39989068374364,-18.43034753000483
31026,Bom Despacho,-45.469044500035224,-19.628639571474036
31027,Sete Lagoas,-44.10778953887367,-19.278993190369967
31028,Conceição do Mato Dentro,-43.364509232991736,-18.77857013397036
31029,Pará de Minas,-44.69164125917275,-19.725172402509173
31030,Belo Horizonte,-44.04350855014266,-19.90125287397449
31031,Itabira,-43.17625929738113,-19.732231300663795
31032,Itaguara,-44.26952687107296,-20.371449110238277
31033,Ouro Preto,-43.516779924172496,-20.348442763327643
31034,Conselheiro Lafaiete,-43.87901091230256,-20.66895784560911
31035,Guanhães,-42.86057311120326,-18.749507710463607
31036,Peçanha,-42.451051433183444,-18.242296749027304
31037,Governador Valadares,-41.85169186854431,-18.64956168274824
31038,Mantena,-41.208605008734885,-18.64887906782839
31039,Ipatinga,-42.60271306547246,-19.36978025850422
31040,Caratinga,-42.11639502753674,-19.575695792743844
31041,Aimorés,-41.38451094099892,-19.492312278017472
31042,Piuí,-46.19106396921903,-20.140437714388888
31043,Divinópolis,-44.938230580566426,-20.105691167706798
