location,population
S.Ant<f4>nio P<e1>dua,118895.0
Campos Goytac.,529467.0
Maca<e9>,178008.0
Tr<ea>s Rios,145926.0
Cantag/Cordeiro,58982.0
Nova Friburgo,221644.0
S.M.Madalena,28695.0
Bacia de S.Jo<e3>o,83506.0
Lagos,398142.0
Vale Para<ed>ba RJ,631596.0
Barra do Pira<ed>,164335.0
Ba<ed>a I.Grande,153515.0
Vassouras,152759.0
Serrana,450044.0
Macacu-Caceribu,99617.0
Itagua<ed>,176842.0
Rio de Janeiro,10784953.0
Jales,147282.0
Fernand<f3>polis,101011.0
Votuporanga,127667.0
S.Jos<e9> R.Preto,684117.0
Catanduva,204778.0
Auriflama,44197.0
Nhandeara,58913.0
Novo Horizonte,72624.0
Barretos,127698.0
S.Joaquim Barra,193357.0
Ituverava,90779.0
Franca,357501.0
Jaboticabal,390699.0
Ribeir<e3>o Preto,881285.0
Batatais,99164.0
Andradina,174896.0
Ara<e7>atuba,235915.0
Birigui,231717.0
Lins,148583.0
Bauru,522632.0
Ja<fa>,315473.0
Avar<e9>,161284.0
Botucatu,183633.0
Araraquara,454811.0
S<e3>o Carlos,277636.0
Rio Claro,221680.0
Limeira,519378.0
Piracicaba,501219.0
Pirassununga,168968.0
S.Jo<e3>o B.Vista,399885.0
Mogi Mirim,347966.0
Campinas,2257640.0
Amparo,163928.0
Dracena,108053.0
Adamantina,151211.0
Pres.Prudente,550832.0
Tup<e3>,109273.0
Mar<ed>lia,314123.0
Assis,249792.0
Ourinhos,274456.0
Itapeva,235566.0
Itapetininga,167321.0
Tatu<ed>,215580.0
Cap<e3>o Bonito,142484.0
Piedade,181912.0
Sorocaba,1157340.0
Jundia<ed>,540515.0
Bragan<e7>a SP,428659.0
Campos Jord<e3>o,65715.0
S.Jos<e9> Campos,1257394.0
Guaratinguet<e1>,378282.0
Bananal,25670.0
Par./Paraitinga,70874.0
Caraguatatuba,233271.0
Registro,246320.0
Itanha<e9>m,189047.0
Osasco,1638611.0
Franco da Rocha,386951.0
Guarulhos,1212081.0
Itapec.Serra,836486.0
S<e3>o Paulo,12886203.0
Mogi das Cruzes,1167738.0
Santos,1340030.0
Paranava<ed>,258537.0
Umuarama,254660.0
Cianorte,125932.0
Goioer<ea>,126333.0
Campo Mour<e3>o,215084.0
Astorga,173321.0
Porecatu,83065.0
Flora<ed>,33793.0
Maring<e1>,461658.0
Apucarana,255598.0
Londrina,650635.0
Faxinal,47100.0
Ivaipor<e3>,145879.0
Assa<ed>,72801.0
Corn.Proc<f3>pio,182716.0
Jacarezinho,119527.0
Ibaiti,74740.0
Wenceslau Braz,97384.0
Tel<ea>maco Borba,146951.0
Jaguaria<ed>va,95702.0
Ponta Grossa,389567.0
Toledo,343038.0
Cascavel PR,400369.0
Foz do Igua<e7>u,409389.0
Capanema,93301.0
Franc.Beltr<e3>o,227330.0
Pato Branco,151156.0
Pitanga,84360.0
Guarapuava,366937.0
Palmas,85477.0
Prudent<f3>polis,118695.0
Irati,92262.0
Uni<e3>o Vit<f3>ria,112745.0
S.Mateus do Sul,56753.0
Cerro Azul,29264.0
Lapa,46553.0
Curitiba,2742403.0
Paranagu<e1>,243016.0
Rio Negro PR,80678.0
S.Miguel Oeste,169166.0
Chapec<f3>,363410.0
Xanxer<ea>,143697.0
Joa<e7>aba,308603.0
Conc<f3>rdia,137625.0
Canoinhas,233832.0
S.Bento do Sul,117859.0
Joinville,696902.0
Curitibanos,117269.0
Campos de Lages,285702.0
Rio do Sul,183582.0
Blumenau,559927.0
Itaja<ed>,420037.0
Ituporanga,51163.0
Tijucas,70517.0
Florian<f3>polis,730719.0
Tabuleiro,23246.0
Tubar<e3>o,342507.0
Crici<fa>ma,330309.0
Ararangu<e1>,162664.0
Santa Rosa,161762.0
Tr<ea>s Passos,148851.0
Fred.Westphalen,182754.0
Erechim,213941.0
Sananduva,61887.0
Cerro Largo,69338.0
Santo <c2>ngelo,208471.0
Iju<ed>,180391.0
Carazinho,159550.0
Passo Fundo,303649.0
Cruz Alta,156504.0
N<e3>o-Me-Toque,41478.0
Soledade,72061.0
Guapor<e9>,116877.0
Vacaria,154726.0
Caxias do Sul,667848.0
Santiago,111859.0
Santa Maria,353830.0
Restinga Seca,66619.0
S. Cruz do Sul,302141.0
Lajeado-Estrela,280885.0
Cachoeira Sul,157817.0
Montenegro,180991.0
Gramado-Canela,267374.0
S. Jer<f4>nimo,133485.0
Porto Alegre,3479683.0
Os<f3>rio,293115.0
Camaqu<e3>,124840.0
Campanha Ocid.,383693.0
Campanha Centr.,195749.0
Campanha Merid.,173811.0
Serras Sudeste,117323.0
Pelotas,478702.0
Jaguar<e3>o,56613.0
Litoral Lagunar,251201.0
Baixo Pantanal,125591.0
Aquidauana,99375.0
Alto Taquari,105817.0
Campo Grande,740422.0
Cassil<e2>ndia,48351.0
Parana<ed>ba,71542.0
Tr<ea>s Lagoas,127501.0
Nova Andradina,75167.0
Bodoquena,101756.0
Dourados,413372.0
Iguatemi,202142.0
Aripuan<e3>,100213.0
Alta Floresta,90007.0
Col<ed>der,128571.0
Parecis,65418.0
Arinos,69745.0
A.Teles Pires,107597.0
Sinop,138713.0
Paranatinga,28656.0
Norte Araguaia,91213.0
Canarana,80545.0
M<e9>dio Araguaia,61738.0
Alto Guapor<e9>,61201.0
Tangar<e1> Serra,116688.0
Jauru,105104.0
Alto Paraguai,31730.0
Ros<e1>rio Oeste,31437.0
Cuiab<e1>,758596.0
Alto Pantanal,125890.0
Primavera Leste,61681.0
Tesouro,53302.0
Rondon<f3>polis,228173.0
Alto Araguaia,24366.0
S.Miguel Arag.,74377.0
Rio Vermelho,91753.0
Aragar<e7>as,53650.0
Porangatu,224697.0
Chap.Veadeiros,56915.0
Ceres,212620.0
An<e1>polis,472083.0
Ipor<e1>,62310.0
Anicuns,102235.0
Goi<e2>nia,1742120.0
V<e3>o do Paran<e3>,92682.0
Ent.Bras<ed>lia,856301.0
SO de Goi<e1>s,351130.0
Vale Rio Bois,102543.0
Meia Ponte,319846.0
Pires do Rio,87411.0
Catal<e3>o,119782.0
Quirin<f3>polis,94007.0
Bras<ed>lia,2097447.0
