population,micro_code,micro_name,longitude,latitude
354924.0,31031,Itabira,-43.17625929738113,-19.732231300663795
58274.0,31032,Itaguara,-44.26952687107296,-20.37144911023828
157046.0,31033,Ouro Preto,-43.516779924172496,-20.348442763327643
223587.0,31034,Conselheiro Lafaiete,-43.87901091230256,-20.66895784560911
128187.0,31035,Guanhães,-42.86057311120326,-18.749507710463607
83915.0,31036,Peçanha,-42.45105143318344,-18.242296749027304
398324.0,31037,Governador Valadares,-41.85169186854431,-18.64956168274824
61342.0,31038,Mantena,-41.208605008734885,-18.64887906782839
481554.0,31039,Ipatinga,-42.60271306547246,-19.36978025850422
241444.0,31040,Caratinga,-42.11639502753674,-19.575695792743844
147421.0,31041,Aimorés,-41.38451094099892,-19.492312278017472
77692.0,31042,Piuí,-46.19106396921903,-20.140437714388888
401149.0,31043,Divinópolis,-44.938230580566426,-20.1056911677068
146172.0,31044,Formiga,-45.43140287954462,-20.462920436825904
106660.0,31045,Campo Belo,-45.314016129543056,-20.87772222390663
120467.0,31046,Oliveira,-44.74924361098353,-20.77075177512243
212920.0,31047,Passos,-46.68565887862148,-20.60118256460763
256985.0,31048,São Sebastião do Paraíso,-46.73285043703028,-21.158563237947096
212176.0,31049,Alfenas,-46.027907545175495,-21.37430549515477
413175.0,31050,Varginha,-45.529654112504886,-21.32625292874035
314362.0,31051,Poços de Caldas,-46.41403279643117,-21.99785125084757
287740.0,31052,Pouso Alegre,-46.09962956424688,-22.47156769034701
129797.0,31053,Santa Rita do Sapucaí,-45.67089726952279,-22.10388435746265
198611.0,31054,São Lourenço,-44.99030086629464,-22.095600076084352
73906.0,31055,Andrelândia,-44.44626431289419,-21.89204570975253
183503.0,31056,Itajubá,-45.423939544042895,-22.4293709661908
136312.0,31057,Lavras,-44.90596493474117,-21.367835272475634
172469.0,31058,São João Del Rei,-44.29697980853288,-21.151641087500508
207972.0,31059,Barbacena,-43.764630324409005,-21.19697298612737
189573.0,31060,Ponte Nova,-42.71631336820043,-20.253190311288865
253576.0,31061,Manhuaçu,-42.03260788070159,-20.228351524499224
